Strain,Gastro,Invasive
122,0.8073,0.1927
52,0.8158,0.1842
56,0.8252,0.1748
20,0.8378,0.1622
11,0.8422,0.1578
17,0.8422,0.1578
22,0.8422,0.1578
23,0.8422,0.1578
86,0.8426,0.1574
76,0.8435,0.1565
123,0.8437,0.1563
124,0.8447,0.1553
92,0.8448,0.1552
80,0.8455,0.1545
7,0.8472,0.1528
50,0.8475,0.1525
121,0.8476,0.1524
73,0.8481,0.1519
127,0.8484,0.1516
132,0.8484,0.1516
133,0.8484,0.1516
53,0.8495,0.1505
94,0.8497,0.1503
103,0.85,0.15
10,0.8506,0.1494
3,0.8512,0.1488
57,0.8523,0.1477
125,0.8534,0.1466
47,0.8536,0.1464
126,0.8547,0.1453
74,0.8548,0.1452
15,0.855,0.145
75,0.855,0.145
85,0.8559,0.1441
90,0.8559,0.1441
1,0.857,0.143
59,0.8576,0.1424
40,0.8579,0.1421
45,0.8584,0.1416
66,0.8584,0.1416
12,0.8586,0.1414
68,0.8589,0.1411
79,0.859,0.141
77,0.8599,0.1401
69,0.8605,0.1395
87,0.8605,0.1395
98,0.8605,0.1395
105,0.8606,0.1394
134,0.8608,0.1392
89,0.8608,0.1392
96,0.8609,0.1391
46,0.861,0.139
2,0.8618,0.1382
114,0.8631,0.1369
5,0.8631,0.1369
102,0.8635,0.1365
104,0.8635,0.1365
106,0.8635,0.1365
107,0.8635,0.1365
19,0.8636,0.1364
117,0.8643,0.1357
93,0.8644,0.1356
88,0.8647,0.1353
91,0.8652,0.1348
113,0.8654,0.1346
41,0.8654,0.1346
131,0.8657,0.1343
84,0.8674,0.1326
67,0.8676,0.1324
115,0.8679,0.1321
116,0.8679,0.1321
72,0.8679,0.1321
81,0.8717,0.1283
18,0.8735,0.1265
36,0.8745,0.1255
110,0.8752,0.1248
111,0.8752,0.1248
61,0.8761,0.1239
95,0.8764,0.1236
83,0.8771,0.1229
100,0.878,0.122
78,0.8782,0.1218
9,0.8786,0.1214
28,0.8795,0.1205
33,0.8795,0.1205
35,0.8795,0.1205
101,0.8804,0.1196
31,0.8808,0.1192
32,0.8808,0.1192
109,0.881,0.119
112,0.8811,0.1189
6,0.8811,0.1189
97,0.8815,0.1185
44,0.8827,0.1173
70,0.8831,0.1169
71,0.8836,0.1164
21,0.8838,0.1162
55,0.8839,0.1161
30,0.8845,0.1155
13,0.8853,0.1147
63,0.8855,0.1145
26,0.8856,0.1144
118,0.8857,0.1143
54,0.8857,0.1143
4,0.8859,0.1141
8,0.8859,0.1141
25,0.8862,0.1138
51,0.8865,0.1135
64,0.8867,0.1133
16,0.887,0.113
42,0.8872,0.1128
43,0.8872,0.1128
14,0.8874,0.1126
29,0.8876,0.1124
39,0.8876,0.1124
62,0.8876,0.1124
65,0.8876,0.1124
128,0.8878,0.1122
108,0.8888,0.1112
82,0.8892,0.1108
119,0.8919,0.1081
120,0.8919,0.1081
129,0.8919,0.1081
130,0.8919,0.1081
27,0.8919,0.1081
34,0.8919,0.1081
58,0.8921,0.1079
99,0.8921,0.1079
60,0.8937,0.1063
37,0.8943,0.1057
38,0.8943,0.1057